path,batch,classification,valid_scope,reason
K1_walk/v7/2026-07-28-17-22-01_G3_full_20260729-155837/BEST_CHECKPOINT,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
K1_walk/v7/2026-07-28-17-22-01_G3_full_20260729-155837/report.json,G,A_CORE_WITH_EXCLUSIONS,clean own-task core only,"pose/heading/falls/category valid; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-28-17-22-01_G3_full_20260729-155837/report.md,G,A_CORE_WITH_EXCLUSIONS,clean own-task core only,"pose/heading/falls/category valid; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-28-17-22-01_G3_full_20260729-155837/report_stress_jitter.md,G,C_INVALID,none,stress omitted run config and evaluated 16-DOF armswing checkpoint on 12-DOF armsdown embodiment
K1_walk/v7/2026-07-28-17-22-01_G3_full_20260729-155837/rollout_env0.mp4,G,B_LIMITED,qualitative env0 only,single deterministic video; not statistical evidence
K1_walk/v7/2026-07-28-17-22-01_G3_full_20260729-155837/selection.md,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
K1_walk/v7/2026-07-29-15-11-01_G4_smoothturn_20260729-183659/BEST_CHECKPOINT,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
K1_walk/v7/2026-07-29-15-11-01_G4_smoothturn_20260729-183659/report.json,G,A_CORE_WITH_EXCLUSIONS,clean own-task core only,"pose/heading/falls/category valid; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-29-15-11-01_G4_smoothturn_20260729-183659/report.md,G,A_CORE_WITH_EXCLUSIONS,clean own-task core only,"pose/heading/falls/category valid; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-29-15-11-01_G4_smoothturn_20260729-183659/report_stress_jitter.md,G,B_LIMITED,common-base goal-churn survival only,stress omitted run config/provenance and external force was OFF
K1_walk/v7/2026-07-29-15-11-01_G4_smoothturn_20260729-183659/rollout_env0.mp4,G,B_LIMITED,qualitative env0 only,single deterministic video; not statistical evidence
K1_walk/v7/2026-07-29-15-11-01_G4_smoothturn_20260729-183659/selection.md,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
K1_walk/v7/reeval_20260727-225001/E2_robust/common_task/report.json,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_20260727-225001/E2_robust/common_task/report.md,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_20260727-225001/E2_robust/common_task/segments.csv,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_20260727-225001/E2_robust/own_task/BEST_CHECKPOINT,E,B_LIMITED,selected checkpoint provenance,video is one env or selector searched sampled checkpoints rather than every iteration
K1_walk/v7/reeval_20260727-225001/E2_robust/own_task/report.json,E,A_AUTHORITATIVE,E2 clean own-task core,"own frozen config, path off; exclude reset-contaminated segment peak tail"
K1_walk/v7/reeval_20260727-225001/E2_robust/own_task/report.md,E,A_AUTHORITATIVE,E2 clean own-task core,"own frozen config, path off; exclude reset-contaminated segment peak tail"
K1_walk/v7/reeval_20260727-225001/E2_robust/own_task/rollout_env0.mp4,E,B_LIMITED,qualitative env0,video is one env or selector searched sampled checkpoints rather than every iteration
K1_walk/v7/reeval_20260727-225001/E2_robust/own_task/segments.csv,E,A_AUTHORITATIVE,E2 clean own-task core,"own frozen config, path off; exclude reset-contaminated segment peak tail"
K1_walk/v7/reeval_20260727-225001/E2_robust/own_task/selection.md,E,B_LIMITED,selected checkpoint provenance,video is one env or selector searched sampled checkpoints rather than every iteration
K1_walk/v7/reeval_20260727-225001/E2_robust/stress_jitter/report.json,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation
K1_walk/v7/reeval_20260727-225001/E2_robust/stress_jitter/report.md,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation
K1_walk/v7/reeval_20260729-144525/E1_path/common_task/report.json,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/common_task/report.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/common_task/segments.csv,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/own_task/BEST_CHECKPOINT,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/own_task/report.json,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/own_task/report.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/own_task/rollout_env0.mp4,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/own_task/segments.csv,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/own_task/selection.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/stress_jitter/report.json,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E1_path/stress_jitter/report.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/common_task/report.json,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/common_task/report.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/common_task/segments.csv,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/own_task/BEST_CHECKPOINT,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/own_task/report.json,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/own_task/report.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/own_task/rollout_env0.mp4,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/own_task/segments.csv,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/own_task/selection.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/stress_jitter/report.json,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_20260729-144525/E2_robust/stress_jitter/report.md,E,D_DUPLICATE,same as corresponding 20260728 artifact,same-seed byte-identical/core-identical rerun; not independent evidence
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/common_task/report.json,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/common_task/report.md,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/common_task/segments.csv,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/own_task/BEST_CHECKPOINT,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/own_task/report.json,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/own_task/report.md,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/own_task/rollout_env0.mp4,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/own_task/segments.csv,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/own_task/selection.md,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/stress_jitter/report.json,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation; trained path semantics also drifted
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E1_path/stress_jitter/report.md,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation; trained path semantics also drifted
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/common_task/report.json,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/common_task/report.md,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/common_task/segments.csv,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/own_task/BEST_CHECKPOINT,E,B_LIMITED,selected checkpoint provenance,video is one env or selector searched sampled checkpoints rather than every iteration
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/own_task/report.json,E,A_AUTHORITATIVE,E2 clean own-task core,"own frozen config, path off; exclude reset-contaminated segment peak tail"
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/own_task/report.md,E,A_AUTHORITATIVE,E2 clean own-task core,"own frozen config, path off; exclude reset-contaminated segment peak tail"
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/own_task/rollout_env0.mp4,E,B_LIMITED,qualitative env0,video is one env or selector searched sampled checkpoints rather than every iteration
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/own_task/segments.csv,E,A_AUTHORITATIVE,E2 clean own-task core,"own frozen config, path off; exclude reset-contaminated segment peak tail"
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/own_task/selection.md,E,B_LIMITED,selected checkpoint provenance,video is one env or selector searched sampled checkpoints rather than every iteration
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/stress_jitter/report.json,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/E2_robust/stress_jitter/report.md,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/common_task/report.json,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/common_task/report.md,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/common_task/segments.csv,E,B_LIMITED,current-code/OOD compatibility only,not the trained native task; cannot establish modification efficacy
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/own_task/BEST_CHECKPOINT,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/own_task/report.json,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/own_task/report.md,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/own_task/rollout_env0.mp4,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/own_task/segments.csv,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/own_task/selection.md,E,B_LIMITED,"current-code compatibility, not original path hypothesis",path semantics changed after training; report cannot grade learned native path behavior
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/stress_jitter/report.json,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation; trained path semantics also drifted
K1_walk/v7/reeval_e_batch_gpu1_20260728-201804/V7_full/stress_jitter/report.md,E,B_LIMITED,goal-churn survival only,external force OFF; low motion confounds low oscillation; trained path semantics also drifted
